glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
2274,111,3,4,17,3,910,1198,286,418
2275,111,3,4,18,1,0,910,286,418
2276,111,4,4,18,2,0,1198,423,555
2277,111,5,4,18,3,0,1198,560,693
2278,111,6,4,18,4,198,1198,698,830
2279,111,6,4,19,1,0,198,698,830
2280,111,7,4,19,2,0,1198,835,968
2281,111,8,4,19,3,0,1198,973,1105
2282,111,9,4,19,4,0,1198,1110,1243
2283,111,10,4,19,5,0,1198,1248,1380
2284,111,11,4,19,6,14,1198,1385,1517
2285,111,12,4,20,1,0,1198,1522,1655
2286,111,13,4,20,2,0,1198,1660,1793
2287,112,1,4,20,1,227,1198,10,143
2288,112,1,4,21,1,0,227,10,143
2289,112,2,4,21,2,0,1198,148,281
2290,112,3,4,21,3,335,1198,286,418
2291,112,3,4,22,1,0,335,286,418
2292,112,4,4,22,2,0,1198,423,555
2293,112,5,4,22,3,14,1198,560,693
2294,112,6,4,23,1,0,1198,698,830
2295,112,7,4,23,2,0,1198,835,968
2296,112,8,4,23,3,0,1198,973,1105
2297,112,9,4,23,4,0,1198,1110,1243
2298,112,10,4,23,5,0,1198,1248,1380
2299,112,11,4,23,6,0,1198,1385,1517
2300,112,12,4,23,7,0,1198,1522,1655
2301,112,13,4,23,8,14,1198,1660,1793
2302,113,1,4,24,1,0,1198,10,143
2303,113,2,4,24,2,0,1198,148,281
2304,113,3,4,24,3,0,1198,286,418
2305,113,4,4,24,4,0,1198,423,555
2306,113,5,4,24,5,0,1198,560,693
2307,113,6,4,24,6,14,1198,698,830
2308,113,7,4,25,1,0,1198,835,968
2309,113,8,4,25,2,0,1198,973,1105
2310,113,9,4,25,3,0,1198,1110,1243
2311,113,10,4,25,4,0,1198,1248,1380
2312,113,11,4,25,5,0,1198,1385,1517
2313,113,12,4,25,6,0,1198,1522,1655
2314,113,13,4,25,7,0,1198,1660,1793
2315,114,1,4,25,1,0,1198,10,143
2316,114,2,4,25,2,155,1198,148,281
2317,114,2,4,26,1,0,155,148,281
2318,114,3,4,26,2,0,1198,286,418
2319,114,4,4,26,3,132,1198,423,555
2320,114,4,4,27,1,0,132,423,555
2321,114,5,4,27,2,0,1198,560,693
2322,114,6,4,27,3,277,1198,698,830
2323,114,6,4,28,1,0,277,698,830
2324,114,7,4,28,2,14,1198,835,968
2325,114,8,4,29,1,0,1198,973,1105
2326,114,9,4,29,2,0,1198,1110,1243
2327,114,10,4,29,3,14,1198,1248,1380
2328,114,11,4,30,1,0,1198,1385,1517
2329,114,12,4,30,2,329,1198,1522,1655
2330,114,12,4,31,1,0,329,1522,1655
2331,114,13,4,31,2,0,1198,1660,1793
2332,115,1,4,31,1,711,1198,10,143
2333,115,1,4,32,1,0,711,10,143
2334,115,2,4,32,2,0,1198,148,281
2335,115,3,4,32,3,0,1198,286,418
2336,115,4,4,32,4,14,1198,423,555
2337,115,5,4,33,1,0,1198,560,693
2338,115,6,4,33,2,0,1198,698,830
2339,115,7,4,33,3,227,1198,835,968
2340,115,7,4,34,1,0,227,835,968
2341,115,8,4,34,2,0,1198,973,1105
2342,115,9,4,34,3,0,1198,1110,1243
2343,115,10,4,34,4,0,1198,1248,1380
2344,115,11,4,34,5,0,1198,1385,1517
2345,115,12,4,34,6,0,1198,1522,1655
